t,z(t),v(t),F(t) (added)
9.480027,1.858179,-0.06579521,-185.8179
9.500028,1.85612,-0.1029588,-185.612
9.520028,1.853318,-0.1400812,-185.3318
9.540029,1.849775,-0.1771475,-184.9775
9.560029,1.845492,-0.214143,-184.5492
9.580029,1.840471,-0.2510529,-184.0471
9.60003,1.834714,-0.2878623,-183.4714
9.62003,1.828223,-0.3245566,-182.8223
9.640031,1.821,-0.3611211,-182.1
9.660031,1.81305,-0.3975411,-181.305
9.680032,1.804374,-0.4338021,-180.4373
9.700032,1.794976,-0.4698895,-179.4976
9.720033,1.78486,-0.505789,-178.486
9.740033,1.77403,-0.5414863,-177.403
9.760034,1.762491,-0.5769669,-176.2491
9.780034,1.750247,-0.6122167,-175.0247
9.800035,1.737302,-0.6472216,-173.7302
9.820035,1.723663,-0.6819677,-172.3663
9.840035,1.709334,-0.7164409,-170.9334
9.860036,1.694322,-0.7506276,-169.4321
9.880036,1.678631,-0.784514,-167.8631
9.900037,1.662269,-0.8180866,-166.2269
9.920037,1.645243,-0.851332,-164.5243
9.940038,1.627558,-0.8842369,-162.7558
9.960038,1.609222,-0.916788,-160.9222
9.980039,1.590243,-0.9489725,-159.0243
10.00004,1.570627,-0.9807773,-157.0627
10.02004,1.550384,-1.01219,-155.0384
10.04004,1.52952,-1.043198,-152.952
10.06004,1.508044,-1.073788,-150.8044
10.08004,1.485965,-1.103949,-148.5965
10.10004,1.463292,-1.133668,-146.3292
10.12004,1.440033,-1.162934,-144.0033
10.14004,1.416198,-1.191735,-141.6198
10.16004,1.391797,-1.220059,-139.1797
10.18004,1.366839,-1.247895,-136.6839
10.20004,1.341335,-1.275231,-134.1335
10.22004,1.315293,-1.302058,-131.5293
10.24004,1.288726,-1.328364,-128.8726
10.26005,1.261643,-1.354139,-126.1643
10.28005,1.234056,-1.379372,-123.4056
10.30005,1.205975,-1.404053,-120.5975
10.32005,1.177411,-1.428172,-117.7411
10.34005,1.148377,-1.45172,-114.8377
10.36005,1.118883,-1.474688,-111.8883
10.38005,1.088942,-1.497066,-108.8942
10.40005,1.058565,-1.518844,-105.8565
10.42005,1.027765,-1.540016,-102.7765
10.44005,0.9965531,-1.560571,-99.65531
10.46005,0.9649431,-1.580502,-96.49431
10.48005,0.9329471,-1.599801,-93.29471
10.50005,0.9005779,-1.61846,-90.05779
10.52005,0.8678485,-1.636472,-86.78484
10.54005,0.8347719,-1.653829,-83.47719
10.56005,0.8013614,-1.670524,-80.13614
10.58005,0.7676303,-1.686551,-76.76303
10.60005,0.7335923,-1.701904,-73.35923
10.62005,0.6992608,-1.716576,-69.92608
10.64005,0.6646495,-1.730561,-66.46496
10.66005,0.6297725,-1.743854,-62.97725
10.68005,0.5946435,-1.756449,-59.46435
10.70006,0.5592766,-1.768342,-55.92767
10.72006,0.5236861,-1.779528,-52.36861
10.74006,0.4878861,-1.790001,-48.78861
10.76006,0.4518909,-1.799759,-45.18909
10.78006,0.4157149,-1.808797,-41.5715
10.80006,0.3793727,-1.817111,-37.93727
10.82006,0.3428788,-1.824699,-34.28788
10.84006,0.3062477,-1.831556,-30.62477
10.86006,0.269494,-1.837681,-26.9494
10.88006,0.2326326,-1.843071,-23.26326
10.90006,0.1956781,-1.847724,-19.56781
10.92006,0.1586454,-1.851637,-15.86454
10.94006,0.1215492,-1.85481,-12.15492
10.96006,0.08440436,-1.857241,-8.440436
10.98006,0.04722578,-1.858929,-4.722578
11.00006,0.01002831,-1.859874,-1.002831
11.02006,-0.02717318,-1.860074,2.717318
11.04006,-0.06436379,-1.859531,6.436379
11.06006,-0.1015287,-1.858244,10.15287
11.08006,-0.1386529,-1.856213,13.86529
11.10006,-0.1757217,-1.85344,17.57217
11.12006,-0.2127202,-1.849926,21.27202
11.14007,-0.2496337,-1.845671,24.96337
11.16007,-0.2864472,-1.840678,28.64472
11.18007,-0.3231462,-1.834949,32.31462
11.20007,-0.3597159,-1.828486,35.9716
11.22007,-0.3961418,-1.821292,39.61418
11.24007,-0.4324092,-1.813369,43.24092
11.26007,-0.4685036,-1.804721,46.85036
11.28007,-0.5044106,-1.795351,50.44106
11.30007,-0.5401159,-1.785263,54.01159
11.32007,-0.5756051,-1.774461,57.56051
11.34007,-0.610864,-1.762948,61.0864
11.36007,-0.6458787,-1.750731,64.58787
11.38007,-0.6806349,-1.737814,68.06349
11.40007,-0.7151189,-1.724201,71.51189
11.42007,-0.7493169,-1.709898,74.93169
11.44007,-0.7832152,-1.694912,78.32152
11.46007,-0.8168001,-1.679248,81.68001
11.48007,-0.8500584,-1.662912,85.00584
11.50007,-0.8829766,-1.645911,88.29766
11.52007,-0.9155416,-1.628251,91.55416
11.54007,-0.9477404,-1.60994,94.77404
11.56007,-0.9795601,-1.590986,97.95601
11.58008,-1.010988,-1.571394,101.0988
11.60008,-1.042011,-1.551175,104.2011
11.62008,-1.072618,-1.530334,107.2618
11.64008,-1.102796,-1.508882,110.2796
11.66008,-1.132532,-1.486826,113.2532
11.68008,-1.161816,-1.464175,116.1816
11.70008,-1.190634,-1.440939,119.0634
11.72008,-1.218977,-1.417127,121.8977
11.74008,-1.246832,-1.392747,124.6832
11.76008,-1.274188,-1.36781,127.4188
11.78008,-1.301035,-1.342327,130.1035
11.80008,-1.327361,-1.316306,132.7361
11.82008,-1.353156,-1.289759,135.3156
11.84008,-1.37841,-1.262696,137.841
11.86008,-1.403112,-1.235127,140.3112
11.88008,-1.427254,-1.207065,142.7254
11.90008,-1.450824,-1.17852,145.0824
11.92008,-1.473814,-1.149504,147.3814
11.94008,-1.496215,-1.120027,149.6215
11.96008,-1.518017,-1.090103,151.8017
11.98008,-1.539212,-1.059743,153.9212
12.00008,-1.559791,-1.028959,155.9791
12.02009,-1.579746,-0.9977627,157.9746
12.04009,-1.599069,-0.9661678,159.9069
12.06009,-1.617753,-0.9341864,161.7753
12.08009,-1.63579,-0.9018313,163.579
12.10009,-1.653172,-0.8691155,165.3172
12.12009,-1.669893,-0.8360521,166.9893
12.14009,-1.685946,-0.8026543,168.5946
12.16009,-1.701325,-0.7689353,170.1325
12.18009,-1.716023,-0.7349088,171.6023
